Owner,Address,PrimeType,SecondType,GarOrLot,RegCap,ValetCap,MCCap,LANDUSETYP,Location 1
Private,2110 Market St,PPA, ,L,13,0,0,restaurant,"(37.767378, -122.429344)"
SFMTA,993 Potrero,PPA, ,L,34,0,0, ,"(37.757272, -122.40632)"
Port of SF,601 Terry A Francois Blvd,PPA, ,L,72,0,0, ,"(37.770135, -122.385801)"
Private,11 SOUTH VAN NESS,PHO,CPO,G,130,0,0, ,"(37.77415, -122.418402)"
Private,101 CALIFORNIA ST,PPA, ,G,250,0,0, ,"(37.793243, -122.397495)"
Private,2000 POST ST,PPA, ,G,304,0,0, ,"(37.785078, -122.434745)"
Private,600 CALIFORNIA ST,PPA, ,G,197,0,0, ,"(37.792779, -122.404392)"
Private,35 GILBERT ST,PPA, , ,80,0,0, ,"(37.774337, -122.403257)"
Private,2355 POST ST,PPA, ,L,50,0,0, ,"(37.78397, -122.440218)"
RPD,801 STANYAN ST,PPA, ,L,324,0,0, ,"(37.767202, -122.453432)"
Private,2300 STOCKTON ST,PPA, ,L,200,0,0, ,"(37.807107, -122.410072)"
Private,1 MARKET ST,PPA, ,G,160,0,0, ,"(37.794191, -122.394409)"
Port of SF,100 The Embarcadero,PPA, ,L,100,0,0, ,"(37.794444, -122.391835)"
Private,1101 California St,PPA, ,G,500,0,0, ,"(37.791355, -122.412394)"
Private,1390 Market St,PPA,PHO,G,401,0,10, ,"(37.777332, -122.417114)"
Private,150 CALIFORNIA ST,PPA, ,G,35,0,0, ,"(37.793588, -122.398056)"
Private,153 TOWNSEND ST,PPA, ,G,371,0,0, ,"(37.779602, -122.391181)"
Private,1700 California St,PPA, ,G,155,0,0, ,"(37.790504, -122.422345)"
Private,185 BERRY ST,PPA, ,G,268,0,0, ,"(37.775972, -122.392503)"
Private,199 BEALE ST,PPA, ,L,81,0,0, ,"(37.790147, -122.394056)"
Private,333 MARKET ST,PPA, ,G,120,0,0, ,"(37.791931, -122.397284)"
Private,405 HOWARD ST,PPA, ,G,160,0,0, ,"(37.788948, -122.394895)"
Private,410 Townsend St,PPA, ,G,48,0,0, ,"(37.775111, -122.397604)"
Private,500 BEACH ST,PPA, ,G,575,0,0, ,"(37.807207, -122.417277)"
Port of SF,501 The Embarcadero,PPA, ,L,77,0,0, ,"(37.79995, -122.398604)"
Private,55 FRANCISCO ST,PPA, ,G,400,0,0, ,"(37.805308, -122.406049)"
Private,580 CALIFORNIA ST,PPA, ,G,28,35,0, ,"(37.792845, -122.403885)"
Private,644 GEARY ST,PPA, ,G,95,0,0, ,"(37.786789, -122.413768)"
Private,75 HOWARD ST,PPA, ,G,515,0,0, ,"(37.791465, -122.391712)"
Private,750 KEARNY ST,PPA,CPO,G,500,0,10, ,"(37.794997, -122.404456)"
Private,900 NORTH POINT ST,PPA, ,G,280,0,0, ,"(37.806192, -122.422413)"
Private,901 ILLINOIS ST,PPA, ,L,150,0,0, ,"(37.760264, -122.387094)"
Private,5400 GEARY BLVD,PPA, ,L,18,0,0, ,"(37.780612, -122.477003)"
Private,347 18th Ave,PPA, ,L,52,0,0, ,"(37.781387, -122.47738)"
Private,1515 SCOTT ST,PPA, ,L,90,0,0, ,"(37.783953, -122.438111)"
Private,2175 MARKET ST,PPA, ,L,12,0,0, ,"(37.766205, -122.429913)"
Private,261 ELLIS ST,PPA, ,G,0,250,0, ,"(37.78493, -122.410102)"
Private,721 Filbert St,PPA, ,G,75,0,0, ,"(37.800838, -122.411435)"
Private,101 02ND ST,PPA,PHO,G,70,70,0, ,"(37.788063, -122.399371)"
Private,101 LOMBARD ST,PPA, ,G,530,0,0, ,"(37.803759, -122.403284)"
Private,120 HOWARD ST,PPA, ,G,83,0,0, ,"(37.791226, -122.39275)"
Private,123 MISSION ST,PPA, ,L,84,0,0, ,"(37.792149, -122.393933)"
Private,150 Sacramento St,PPA, ,G,676,0,10, ,"(37.794666, -122.397052)"
Private,155 Sutter St,PPA, ,G,120,30,0, ,"(37.789661, -122.402956)"
Private,1650 MISSION ST,PPA, ,G,86,0,0, ,"(37.771641, -122.419414)"
Private,201 CALIFORNIA ST,PPA, ,G,30,25,0, ,"(37.793093, -122.398668)"
Private,201 SPEAR ST,PPA, ,G,90,0,0, ,"(37.791284, -122.391995)"
Private,2186 GEARY BLVD,PPA, ,L,120,0,0, ,"(37.783669, -122.43875)"
Private,220 BUSH ST,PPA, ,G,150,0,5, ,"(37.791273, -122.401069)"
Private,235 MONTGOMERY ST,PPA, ,G,312,0,0, ,"(37.791239, -122.402519)"
Private,250 Sacramento St,PPA, ,G,664,0,10, ,"(37.794514, -122.398244)"
Port of SF,250 The Embarcadero,PPA, , ,77,31,0, ,"(37.797017, -122.396118)"
Private,255 CALIFORNIA ST,PPA, ,G,45,15,0, ,"(37.793027, -122.399187)"
Private,2550 POWELL ST,PPA, ,G,980,0,0, ,"(37.808056, -122.41172)"
Private,260 Ofarrell St,PPA, ,G,70,0,0, ,"(37.78643, -122.408961)"
Private,325 MASON ST,PPA, ,G,640,0,0, ,"(37.78635, -122.409795)"
Private,333 BUSH ST,PPA, ,G,150,0,0, ,"(37.790612, -122.402985)"
Private,333 OFARRELL ST,PPA, ,G,500,0,0, ,"(37.785877, -122.410046)"
Private,335 POWELL ST (really on Geary),PPA, ,G,250,0,0, ,"(37.787634, -122.40836)"
Private,343 SANSOME ST,PPA, ,G,76,20,0, ,"(37.793508, -122.4013)"
Private,345 CALIFORNIA ST,PPA, ,G,180,0,0, ,"(37.79289, -122.400264)"
Private,350 07TH AVE,PPA, ,L,79,0,0, ,"(37.781965, -122.464796)"
Private,350 RHODE ISLAND ST,PPA, ,G,367,0,0, ,"(37.765354, -122.402692)"
Private,350 Sacramento St,PPA, ,G,558,0,0, ,"(37.794364, -122.39942)"
Private,388 MARKET ST,PPA, ,G,50,50,0, ,"(37.791966, -122.398143)"
Private,395 03rd ST,PPA, ,L,94,100,0, ,"(37.78275, -122.397136)"
Private,400 Howard St,PPA, ,G,200,0,0, ,"(37.789263, -122.395232)"
Private,425 MARKET ST,PPA, ,G,126,0,0, ,"(37.791286, -122.398104)"
Private,439 Spear St,PPA, ,G,235,0,0, ,"(37.788556, -122.38858)"
Private,450 SUTTER ST,PPA, ,G,0,430,0, ,"(37.789484, -122.407641)"
Private,455 MARKET ST,PPA, ,G,120,0,0, ,"(37.791109, -122.398327)"
Private,475 BRANNAN ST,PPA, ,G,200,0,0, ,"(37.77872, -122.395415)"
Private,50 BEALE St,PPA, ,G,90,0,0, ,"(37.791586, -122.396592)"
Private,50 CALIFORNIA ST,PPA, ,G,78,62,11, ,"(37.793742, -122.396851)"
Private,50 FREMONT ST,PPA, ,G,230,0,0, ,"(37.790896, -122.397471)"
Private,501 POST ST,PPA, ,G,74,0,0, ,"(37.78781, -122.40999)"
Private,51 Clay St,PPA, ,G,240,0,0, ,"(37.795291, -122.395949)"
Private,55 02ND ST,PPA,PHO,G,0,110,0, ,"(37.788697, -122.400167)"
Private,555 MARKET ST,PPA, ,G,80,0,0, ,"(37.789843, -122.399941)"
Private,601 VAN NESS AVE,PPA,PHO,G,560,60,14, ,"(37.780913, -122.420523)"
Private,610 HARRISON ST,PPA, ,G,300,0,0, ,"(37.784211, -122.395405)"
Private,650 KING ST,PPA, ,G,325,0,0, ,"(37.770589, -122.401611)"
Private,75 HAWTHORNE ST,PPA, , ,125,0,0, ,"(37.78513, -122.397899)"
Private,750 BATTERY St,PPA, ,G,69,0,0, ,"(37.79811, -122.400513)"
Private,1270 MISSION ST,PPA, ,L,100,0,0, ,"(37.776761, -122.414309)"
Private,3500 19th ST,PHO, ,L,20,0,0, ,"(37.760252, -122.421627)"
Private,955 Sansome St,PPA, ,G,250,0,0, ,"(37.798865, -122.402399)"
Private,635 08th St,PPA, , ,472,0,0, ,"(37.770928, -122.404467)"
Private,100 HENRY ADAMS ST,PPA, ,L,115,0,0, ,"(37.768401, -122.403931)"
Private,40 RHODE ISLAND ST,PPA, ,L,70,0,0, ,"(37.769274, -122.40306)"
Private,55 DIVISION ST,PPA, ,L,57,0,0, ,"(37.769548, -122.403298)"
Private,400 Tunnel Ave,PPA, ,L,38,0,0, ,"(37.709423, -122.401398)"
Private,525 JONES ST,PPA, ,G,60,0,0, ,"(37.785987, -122.413093)"
Private,350 03rd ST,PPA, ,G,150,0,0, ,"(37.783063, -122.398261)"
Private,706 COLUMBUS AVE,PPA, ,L,10,0,0, ,"(37.801358, -122.411197)"
Private,60 SPEAR ST,PPA, ,G,11,0,0, ,"(37.792852, -122.394689)"
Private,50 Cosmo Place,PPA, ,L,0,90,0, ,"(37.788216, -122.412463)"
Private,2100 WEBSTER ST,PPA,PHO,G,400,100,0, ,"(37.790116, -122.431956)"
Private,2300 CALIFORNIA ST,PPA, , ,43,0,0, ,"(37.78926, -122.43213)"
Private,2405 CLAY ST,PPA,PHO,G,415,100,12, ,"(37.790643, -122.432532)"
Private,3620 CALIFORNIA ST,PPA, ,L,25,0,0, ,"(37.786576, -122.453962)"
Private,3838 CALIFORNIA ST,PPA, , ,192,0,0, ,"(37.786036, -122.457464)"
Private,3905 SACRAMENTO ST,PPA, , ,47,0,0, ,"(37.786636, -122.45696)"
Private,45 CASTRO ST,PPA, ,L,209,0,0, ,"(37.7678, -122.435021)"
Private,460 CHERRY ST,PPA, , ,275,0,0, ,"(37.786365, -122.456317)"
Private,1 FRANKLIN ST,PPA, ,L,50,0,0, ,"(37.774258, -122.420836)"
Private,110 FRANKLIN ST,PPA, ,L,43,0,0, ,"(37.77534, -122.420539)"
Private,2351 MISSION ST,PPA,RPO,L,87,0,0, ,"(37.759224, -122.418222)"
Private,24 FLORIDA ST,PPA, ,L,90,0,0, ,"(37.767881, -122.41187)"
Private,3115 MISSION St,PPA, ,L,110,0,0, ,"(37.74756, -122.4181)"
Private,39 GROVE ST,CPO,PPA,L,12,0,0, ,"(37.778488, -122.41571)"
Private,400 TAYLOR ST,PPA, ,G,96,0,0, ,"(37.786159, -122.410943)"
Private,470 BRANNAN ST,PPA, , ,117,0,0, ,"(37.778896, -122.395927)"
Private,525 MARKET ST,PPA, ,G,65,0,0, ,"(37.790276, -122.39939)"
Private,555 JACKSON ST,PPA, ,G,125,0,0, ,"(37.796016, -122.404461)"
Private,611 Green St,PPA, ,L,22,0,0, ,"(37.799204, -122.409083)"
Private,625 MINNA ST,PPA, ,L,50,0,0, ,"(37.778102, -122.410645)"
Private,655 MINNA ST,PPA, ,L,20,0,0, ,"(37.777636, -122.411232)"
Private,660 SUTTER ST,PPA, ,L,27,0,0, ,"(37.789049, -122.411063)"
Private,665 SUTTER ST,PPA, ,L,180,0,0, ,"(37.788635, -122.411034)"
Private,730 HARRISON ST,PHO, ,L,124,0,0, ,"(37.781973, -122.398239)"
Private,768 SANSOME ST,PPA, ,L,130,0,0, ,"(37.797265, -122.401547)"
Private,8 LELAND ST,PPA, , ,44,0,0, ,"(37.711395, -122.403595)"
Private,847 Front St,PPA, ,G,90,0,0, ,"(37.799102, -122.400031)"
Private,650 GILMAN AVE,PPA, , ,184,0,0, ,"(37.715708, -122.383139)"
Private,118 Hawthorne St,PPA,CPO,L,26,0,0, ,"(37.78417, -122.397422)"
Private,1 SHRADER ST,PPA, ,G,229,0,0, ,"(37.774796, -122.453051)"
Private,2235 HAYES ST,PPA, ,G,132,0,0, ,"(37.772775, -122.453021)"
Private,2250 HAYES ST,PPA, ,L,74,0,0, ,"(37.773491, -122.453826)"
Private,1 CALIFORNIA ST,PPA, ,G,160,0,0, ,"(37.793397, -122.396281)"
Private,1000 VAN NESS AVE,PPA, ,G,480,0,0, ,"(37.784997, -122.420162)"
Private,101 POLK ST,PPA,PHO,L,60,20,0, ,"(37.777618, -122.418194)"
Private,1062 Front St,PPA, ,L,150,0,0, ,"(37.801086, -122.39975)"
Private,1150 POST ST,PPA, ,G,183,0,0, ,"(37.786877, -122.420614)"
Private,1340 BUSH ST,PPA, ,G,49,0,0, ,"(37.788975, -122.419211)"
Private,1735 The Embarcadero,PPA, ,L,220,0,0, ,"(37.808636, -122.413716)"
Private,2 BAY ST,PPA, ,L,120,0,0, ,"(37.806646, -122.406227)"
Private,350 PACIFIC AVE,PPA, ,L,55,0,0, ,"(37.797734, -122.401313)"
UCSF,350 PARNASSUS AVE,PPA, ,G,210,0,0, ,"(37.764336, -122.455876)"
Private,356 HARRIET ST,PPA, ,L,70,0,0, ,"(37.774736, -122.402197)"
Private,40 Pier Fifteen,PPA, ,L,80,0,0, ,"(37.801496, -122.398232)"
Private,40 Pier Twentyseven,PPA, ,L,400,0,0, ,"(37.804874, -122.401683)"
Private,40 Pier Twentythree,PPA, ,L,140,0,0, ,"(37.803099, -122.399996)"
Port of SF,50 BROADWAY,PPA, ,L,270,0,0, ,"(37.799242, -122.398296)"
Private,550 KEARNY ST,PPA, ,G,82,0,2, ,"(37.793096, -122.404072)"
Private,555 CALIFORNIA ST,PPA, ,G,500,0,15, ,"(37.792479, -122.403491)"
Private,71 STEVENSON ST,PPA, ,G,70,0,0, ,"(37.789169, -122.399747)"
Private,825 SANSOME ST,PPA, ,G,250,0,0, ,"(37.797698, -122.402163)"
Private,850 Front St,PPA, ,L,120,0,0, ,"(37.799346, -122.399539)"
Private,99 GOLDEN GATE AVE,PPA, ,L,120,0,0, ,"(37.78186, -122.411679)"
Private,700 EDDY ST,PPA, ,L,14,0,0, ,"(37.783236, -122.419196)"
Private,215 Fremont St,PPA, ,G,40,0,0, ,"(37.789113, -122.394501)"
Private,1140 POWELL ST,PPA, ,G,40,0,0, ,"(37.795097, -122.409351)"
Private,1140 FOLSOM ST,PPA, ,L,47,0,0, ,"(37.776088, -122.408792)"
Private,1 Front St,PPA, ,G,340,0,0, ,"(37.791578, -122.398327)"
Private,100 Bush St,PPA, ,G,130,0,0, ,"(37.791467, -122.39954)"
Private,1199 BUSH ST,PPA, , ,50,0,0, ,"(37.78888, -122.416621)"
Private,1220 BUSH ST,PPA, , ,100,0,0, ,"(37.789213, -122.417298)"
Private,1234 Pine St,PPA, ,G,100,0,0, ,"(37.790331, -122.416032)"
Private,125 03rd ST, , ,G,200,0,0, ,"(37.786037, -122.401257)"
Private,25 10th St,PPA, ,G,291,96,7, ,"(37.776378, -122.416676)"
Private,147 MINNA ST,PPA, ,G,410,0,0, ,"(37.786521, -122.399982)"
Private,199 FREMONT ST,PPA, ,G,118,0,0, ,"(37.789375, -122.39483)"
Private,22 04th ST,PPA, ,G,82,0,0, ,"(37.785264, -122.405469)"
SFRA,223 STEVENSON ST,PPA, ,G,350,0,0, ,"(37.786138, -122.40344)"
Private,225 BUSH ST,PPA, , ,86,0,3, ,"(37.790866, -122.400986)"
Private,240 PACIFIC AVE,PPA, ,L,29,0,0, ,"(37.797852, -122.400267)"
Private,25 BEACH ST,PPA, ,L,65,0,0, ,"(37.807787, -122.409301)"
Private,29 BRADY ST,PPA, , ,268,0,0, ,"(37.773165, -122.420277)"
Private,303 02ND ST,PPA, ,G,358,0,0, ,"(37.785555, -122.396225)"
Private,333 03rd St,PPA, ,G,363,0,0, ,"(37.783516, -122.398097)"
Private,3490 CALIFORNIA ST,PPA, , ,80,0,0, ,"(37.786809, -122.451339)"
Private,350 SANSOME ST,PPA, ,G,0,201,0, ,"(37.793662, -122.400805)"
Private,450 NORTH POINT ST,PPA, ,L,66,0,0, ,"(37.806589, -122.414807)"
Private,475 SANSOME ST,PPA, ,G,210,0,0, ,"(37.794553, -122.401512)"
Private,500 HOWARD ST,PPA, ,L,110,0,0, ,"(37.788484, -122.396218)"
Private,505 MONTGOMERY ST,PHO, ,G,50,0,0, ,"(37.793772, -122.403039)"
Private,55 HAWTHORNE ST,PPA, ,G,280,0,0, ,"(37.785331, -122.398154)"
Private,550 CALIFORNIA ST,PPA, ,G,200,0,0, ,"(37.792917, -122.40333)"
Private,580 BRANNAN ST,PPA, ,L,146,0,0, ,"(37.777101, -122.398199)"
Private,600 MONTGOMERY ST,PHO, ,G,318,0,0, ,"(37.794692, -122.402701)"
Private,601 MONTGOMERY ST,PPA, ,G,0,65,0, ,"(37.794626, -122.403214)"
Private,750 BUSH ST,PPA, ,G,0,250,0, ,"(37.790209, -122.409474)"
Private,750 Front St,PPA, ,G,200,0,0, ,"(37.798261, -122.399335)"
Private,795 FOLSOM ST,PPA,PHO,G,120,0,0, ,"(37.781951, -122.400634)"
Private,80 Francisco St,PPA, ,G,526,0,0, ,"(37.80574, -122.406466)"
Private,999 CALIFORNIA ST,PPA, ,G,80,0,0, ,"(37.791604, -122.410422)"
Private,160 JEFFERSON ST,PPA, ,L,250,0,0, ,"(37.808429, -122.415214)"
Private,1230 Carroll Ave,PPA, ,L,150,0,0, ,"(37.720762, -122.385344)"
Private,25 Arelious Walker Dr,PPA, ,L,180,0,0, ,"(37.718656, -122.385272)"
Private,528 Gilman Ave,PPA, ,L,815,0,0, ,"(37.715523, -122.382802)"
Private,690 Egbert Ave,PPA, ,L,1125,0,0, ,"(37.717289, -122.382635)"
Private,76 Arelious Walker Dr,PPA, ,L,900,0,0, ,"(37.717781, -122.385961)"
Private,626 GREEN ST,PPA, ,L,18,0,0, ,"(37.799588, -122.409371)"
Private,455 North Point St,PPA, ,G,110,0,0, ,"(37.806189, -122.414445)"
Private,450 10th St,PPA, ,G,500,0,0, ,"(37.770591, -122.411002)"
Private,5200 GEARY BLVD,PPA, ,G,150,0,0, ,"(37.780701, -122.474839)"
Private,600 The EMBARCADERO,PPA, , ,50,0,0, ,"(37.782798, -122.388456)"
Private,1021 MISSION ST,PPA, ,G,60,0,0, ,"(37.780314, -122.408922)"
Private,1310 Fillmore Street,PPA, ,G,112,0,0, ,"(37.78158, -122.431917)"
Private,160 SPEAR ST,PPA, ,G,37,0,0, ,"(37.791621, -122.393148)"
Private,606 CAPP ST,PPA, ,L,30,0,0, ,"(37.756711, -122.417908)"
Private,1231 MARKET ST,PPA, ,L,0,45,0, ,"(37.778157, -122.414288)"
Private,818 LEAVENWORTH ST,PPA, , ,90,0,0, ,"(37.788603, -122.414785)"
Private,210 TAYLOR ST,PPA, ,L,129,0,0, ,"(37.784339, -122.410454)"
Private,25 Mason St,PPA, ,GL,140,0,0, ,"(37.783573, -122.409206)"
Private,530 TURK ST,PPA, ,L,0,70,0, ,"(37.782479, -122.417626)"
Private,1375 FILLMORE ST,PPA,PHO,G,200,0,10, ,"(37.781996, -122.432527)"
Private,51 Hagiwara Tea Garden Dr,PPA, ,G,800,0,0, ,"(37.770372, -122.467449)"
Private,833 BRYANT ST,PPA, ,L,90,0,0, ,"(37.775276, -122.402871)"
Private,622 WASHINGTON ST,PPA, ,G,60,0,10, ,"(37.795597, -122.403894)"
GGNRA,3698 Laguna St,PPA, ,L,437,0,0, ,"(37.805093, -122.4316)"
Private,760 BRYANT ST,PPA, ,L,35,0,0, ,"(37.776908, -122.401542)"
GG Bridge Authority,3 Transit Facility,PPA, ,L,81,0,0, ,"(37.807699, -122.474081)"
GG Bridge Authority,25 Battery Cranston,PPA, ,L,164,0,0, ,"(37.806308, -122.475697)"
Private,1051 TAYLOR ST,PPA, ,G,132,0,0, ,"(37.792017, -122.412623)"
Private,325 GROVE ST,PHO, , ,25,0,0, ,"(37.777708, -122.421777)"
Private,550 OFARRELL ST,PPA, ,G,40,0,0, ,"(37.78584, -122.413658)"
Private,433 MASON ST,PPA, ,G,110,0,0, ,"(37.787537, -122.410033)"
Private,155 STEUART ST,PPA, ,G,15,0,0, ,"(37.792666, -122.391977)"
Private,40 Pier Three,PPA, ,L,180,0,0, ,"(37.797931, -122.394909)"
Private,770 BROADWAY,PPA, ,L,40,0,0, ,"(37.797642, -122.409598)"
Presidio,1115 Gorgas Ave,PPA, ,G,419,0,0, ,"(37.801439, -122.450057)"
Private,100 FOLSOM ST,PPA, ,L,48,0,0, ,"(37.790098, -122.391053)"
Private,1050 03rd St,PPA, ,L,150,0,0, ,"(37.775349, -122.390012)"
Private,1099 03rd St,PPA, ,L,2501,0,0, ,"(37.775409, -122.388605)"
Private,1537 MISSION ST,PPA, ,L,25,0,0, ,"(37.77355, -122.417375)"
Private,179 EDDY ST,PPA, ,L,40,0,0, ,"(37.783985, -122.409967)"
Private,1750 FULTON ST,PPA, ,G,240,0,0, ,"(37.776062, -122.445491)"
Private,2210 STOCKTON ST,PPA, ,G,150,0,0, ,"(37.806182, -122.409899)"
Private,2291 STOCKTON ST,PPA, ,G,200,0,0, ,"(37.806728, -122.410533)"
Private,350 BAY ST,PPA, ,G,353,0,0, ,"(37.805876, -122.412641)"
Private,350 BEACH ST,PPA, ,G,241,0,0, ,"(37.807533, -122.41466)"
Private,40 Pier Thirty,PPA, ,L,998,0,0, ,"(37.786579, -122.386544)"
Private,425 BROADWAY,PPA, ,L,70,0,0, ,"(37.797916, -122.40407)"
Private,55 BRYANT ST,PPA, ,L,293,0,0, ,"(37.786554, -122.388448)"
Private,788 HARRISON ST,CPO, ,G,180,0,0, ,"(37.781113, -122.399327)"
Private,1898 VAN NESS AVE,PPA, ,L,50,0,0, ,"(37.7931, -122.422423)"
Private,2190 OFARRELL ST,PPA, ,G,410,0,0, ,"(37.782429, -122.440539)"
Private,2238 GEARY BLVD,PPA, ,G,366,0,0, ,"(37.783447, -122.440014)"
Private,4141 GEARY BLVD,PPA, ,G,328,0,0, ,"(37.780234, -122.463375)"
Private,3657 SACRAMENTO ST,PPA, , ,40,0,0, ,"(37.787184, -122.452633)"
Private,125 STEVENSON ST,PPA, ,G,180,175,0, ,"(37.788339, -122.400801)"
Private,111 Woodside Ave,PPA, ,L,206,0,0, ,"(37.746855, -122.456691)"
Private,728 PACIFIC AVE,PPA, ,G,60,0,0, ,"(37.797002, -122.407127)"
Private,1080 SUTTER ST,PPA, ,L,55,0,0, ,"(37.788174, -122.417912)"
Private,11 Oak St,PPA,PHO,L,30,10,0, ,"(37.775135, -122.419451)"
Private,1333 CASTRO ST,PPA, ,L,21,0,0, ,"(37.75098, -122.433611)"
Private,1636 Powell St,PPA, ,G,70,0,0, ,"(37.799657, -122.410273)"
Private,2238 CLEMENT ST,PPA, ,L,25,0,0, ,"(37.78226, -122.482998)"
Private,301 06TH ST,PPA, ,L,54,0,0, ,"(37.778559, -122.405187)"
Private,400 03rd ST,PPA, ,L,60,0,0, ,"(37.782317, -122.397325)"
Private,450 05th ST,PPA, ,L,140,0,0, ,"(37.778334, -122.401205)"
Private,725 HARRISON ST,PPA, ,L,60,0,0, ,"(37.781832, -122.397681)"
Private,75 NATOMA ST,PPA, ,L,32,0,0, ,"(37.787622, -122.397654)"
Private,900 SANSOME ST,PPA, ,G,100,0,0, ,"(37.79851, -122.401802)"
Private,2300 SUTTER ST,PPA, ,G,50,0,0, ,"(37.785593, -122.438224)"
Private,401 MAIN ST,PPA, ,G,300,0,0, ,"(37.788108, -122.389791)"
Private,204 02ND ST,PPA, ,L,0,110,0, ,"(37.786478, -122.398115)"
Private,1401 MISSION ST,PPA, ,L,50,0,0, ,"(37.774961, -122.415697)"
Private,541 ELLIS ST,PPA, ,G,25,0,0, ,"(37.784305, -122.414997)"
Private,681 Green St,PPA, ,L,22,0,0, ,"(37.799097, -122.410015)"
Private,2299 POST ST,PPA, , ,24,0,0, ,"(37.784126, -122.439158)"
Private,178 Townsend ST,PPA, ,G,80,0,0, ,"(37.779466, -122.392089)"
Private,655 MONTGOMERY ST,PPA,PHO,G,75,0,0, ,"(37.795063, -122.403304)"
Private,443 DIVISADERO ST,PPA, ,L,10,0,0, ,"(37.773457, -122.437617)"
Private,2601 MARIPOSA ST,PPA, ,G,100,0,0, ,"(37.762792, -122.409462)"
Private,1650 WEBSTER ST,PPA, ,L,51,0,0, ,"(37.785845, -122.430932)"
Private,1391 Sutter St,PPA, ,G,68,0,0, ,"(37.787122, -122.422901)"
Private,200 13th St,PPA, ,L,34,0,0, ,"(37.77007, -122.417702)"
Private,2927 Larkin ST,PPA, ,G,94,0,0, ,"(37.804892, -122.421925)"
Private,425 Divisadero St,PPA, ,L,38,0,0, ,"(37.773319, -122.43759)"
Private,680 Stanyan St,CPO, ,L,38,0,0,grocery,"(37.769407, -122.453164)"
Private,3865 24TH ST,PPA, ,L,29,0,0, ,"(37.751362, -122.428709)"
Private,560 Mission St,PPA, ,G,210,0,0, ,"(37.788878, -122.398813)"
Private,2310 POWELL ST,PPA, ,G,284,0,0, ,"(37.80598, -122.411539)"
Private,423 BEACH ST,PPA, ,L,23,0,0, ,"(37.806968, -122.415846)"
Private,1800 HAIGHT ST,PPA, ,L,17,0,0, ,"(37.76951, -122.451988)"
Private,189 Hubbell St,PPA, ,L,500,0,0, ,"(37.76642, -122.397815)"
Private,2055 CHESTNUT ST,PPA, ,L,34,0,0, ,"(37.800467, -122.436798)"
Private,90 BROADWAY,PPA, ,L,160,0,0, ,"(37.79892, -122.39945)"
Private,1910 Union st,PPA, ,G,70,0,0, ,"(37.797843, -122.430633)"
Private,150 SPEAR ST,PPA, ,G,15,0,0, ,"(37.791721, -122.393274)"
