Marca;Modelo;Tipo;Contrase¤a de Homologaci¢n;Variante;Versi¢n;Parte Fija Vin;Combustible;Eurotaxi;Baja;N§ puertas;Cilindrada;Potencia;Tipo de Cambio;Eurotaxi2;Ecotaxi2;Plazas2
MERCEDES-BENZ;E 250 BLUETEC;212;e1*2001/116*0501;J004P0;CXXXX500;WDD212004;DIESEL;N;;4;2143;150;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212;e1*2001/116*0501;J004P0;CXXXX501;WDD212004;DIESEL;N;;4;2143;150;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212;e1*2001/116*0501;J004P0;IXXXX500;WDD212004;DIESEL;N;;4;2143;150;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212;e1*2001/116*0501;J004P0;IXXXX501;WDD212004;DIESEL;N;;4;2143;150;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212K;e1*2007/46*0200;J204P0;CXXXX500;WDD212204;DIESEL;N;;5;2143;150;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212K;e1*2007/46*0200;J204P0;CXXXX501;WDD212204;DIESEL;N;;5;2143;150;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212K;e1*2007/46*0200;J204P0;CXXXX502;WDD212204;DIESEL;N;;5;2143;150;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212K;e1*2007/46*0200;J204P0;IXXXX500;WDD212204;DIESEL;N;;5;2143;150;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 250 BLUETEC;212K;e1*2007/46*0200;J204P0;IXXXX501;WDD212204;DIESEL;N;;5;2143;150;MANUAL 6V; ;Ecotaxi;5
MERCEDES-BENZ;E 300 BLUETEC;212;e1*2001/116*0501;J0BEP0;C????502;WDD212027;DIESEL;N;;4;2987;170;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 300 BLUETEC;212;e1*2001/116*0501;J0BEP0;CXXXX500;WDD212027;DIESEL;N;;4;2987;170;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 300 BLUETEC;212;e1*2001/116*0501;J0BEP0;CXXXX501;WDD212027;DIESEL;N;;4;2987;170;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 300 BLUETEC;212;e1*2001/116*0501*??;J0BCP0;NXXXX500;WDD212027;DIESEL;N;;4;2987;170;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 300 BLUETEC;212;e1*2001/116*0501*??;J0BCP0;NXXXX501;WDD212027;DIESEL;N;;4;2987;170;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 300 BLUETEC;212K;e1*2007/46*0200;J2BEP0;CXXXX500;WDD212227;DIESEL;N;;5;2987;170;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 300 BLUETEC;212K;e1*2007/46*0200;J2BEP0;CXXXX501;WDD212227;DIESEL;N;;5;2987;170;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 300 BLUETEC;212K;e1*2007/46*0200;J2BEP0;CXXXX502;WDD212227;DIESEL;N;;5;2987;170;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212;e1*2001/116*0501;J0BDP0;CXXXX500;WDD212026;DIESEL;N;;5;2987;185;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212;e1*2001/116*0501;J0BDP0;CXXXX501;WDD212026;DIESEL;N;;5;2987;185;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212;e1*2001/116*0501;J0BFP0;C????502;WDD212026;DIESEL;N;;4;2987;190;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212;e1*2001/116*0501;J0BFP0;CXXXX500;WDD212026;DIESEL;N;;4;2987;190;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212;e1*2001/116*0501;J0BFP0;CXXXX501;WDD212026;DIESEL;N;;4;2987;190;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212;e1*2001/116*0501*?;J0BDP0;NXXXX500;WDD212026;DIESEL;N;;4;2987;185;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212;e1*2001/116*0501*??;J0BDP0;NXXXX501;WDD212026;DIESEL;N;;4;2987;185;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212K;e1*2007/46*0200;J2BDP0;CXXXX500;WDD212226;DIESEL;N;;5;2987;185;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212K;e1*2007/46*0200;J2BDP0;CXXXX501;WDD212226;DIESEL;N;;5;2987;185;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212K;e1*2007/46*0200;J2BDP0;CXXXX521;WDD212226;DIESEL;N;;5;2987;185;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212K;e1*2007/46*0200;J2BFP0;CXXXX500;WDD212226;DIESEL;N;;5;2987;190;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212K;e1*2007/46*0200;J2BFP0;CXXXX501;WDD212226;DIESEL;N;;5;2987;190;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212K;e1*2007/46*0200;J2BFP0;CXXXX502;WDD212226;DIESEL;N;;5;2987;190;AUTOMµTICO 9V; ;Ecotaxi;5
MERCEDES-BENZ;E 350 BLUETEC;212K;e1*2007/46*0200;J2BFP0;CXXXX521;WDD212226;DIESEL;N;;5;2987;190;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E200 NATURAL GAS;212G;e1*2007/46*0484*;J035P0;N????500;WDD212035;GASOLINA - GAS NATURAL;N;;4;1991;115;AUTOMµTICO; ;Ecotaxi;5
MERCEDES-BENZ;E200 NATURAL GAS;212G;e1*2007/46*0484*;J035P0;N????501;WDD212035;GASOLINA - GAS NATURAL;N;;4;1991;115;AUTOMµTICO 7V; ;Ecotaxi;5
MERCEDES-BENZ;MERCEDES CITAN;X;e2*2007/46*0129;KX06;KX06H6;WDF415705;DIESEL;S;;4+doble puerta trasera;1461;81;MANUAL 6V;Eurotaxi; ;5 + 1 PMR
MERCEDES-BENZ;MERCEDES CITAN;X;e2*2007/46*0129;KX32;KX32H2;WDF415705;DIESEL;S;;4+doble puerta trasera;1461;81;MANUAL 6V;Eurotaxi; ;5 + 1 PMR
MERCEDES-BENZ;MERCEDES CITAN;X;e2*2007/46*0129;KXB6;KXB6H6;WDF415705;DIESEL;S;;4+doble puerta trasera;1461;81;MANUAL 6V;Eurotaxi; ;5 + 1 PMR
NISSAN;NISSAN e-NV200;ME0M;e11*2007/46*1340;B;B01;VSKTAAME0;ELECTRICO;N;;4;;80;AUTOMµTICO; ;Ecotaxi;5
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A01;JN1FAAZE0U;ELECTRICO;N;;4;;80;AUTOMµTICO; ;Ecotaxi;5
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A01;SJNFAAZE0U;ELECTRICO;N;;4;;80;AUTOMµTICO; ;Ecotaxi;5
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A02;JN1FAAZE0U;ELECTRICO;N;;4;;80;AUTOMµTICO; ;Ecotaxi;5
NISSAN;NISSAN LEAF;ZE0;e11*2007/46*0230;A;A02;SJNFAAZE0U;ELECTRICO;N;;4;;80;AUTOMµTICO; ;Ecotaxi;5
PEUGEOT;5008;0;e2*2007/46*0004;0AAHR*;0AAHRM/2S;VF30AAHRM;DIESEL;N;;4+1;1997;110;MANUAL 6V; ;Ecotaxi;5
PEUGEOT;5008;0;e2*2007/46*0004;0AAHX*;0AAHXM/2S;VF30AAHXM;DIESEL;N;;4+1;1997;110;MANUAL 6V; ;Ecotaxi;5
PEUGEOT;5008;0;e2*2007/46*0004;0ABHZ*;0ABHZM/2S;VF30ABHZM;DIESEL;N;;4+1;1560;88;MANUAL 6V; ;Ecotaxi;5
PEUGEOT;5008;0;e2*2007/46*0004;0ABHZ*;0ABHZT/2S;VF30ABHZT;DIESEL;N;;4+1;1560;88;AUTOMµTICO 6V; ;Ecotaxi;5
RENAULT;RENAULT KANGOO TPMR;KW;e2*2007/46*0038;KWB6;KWB6H6D;VF1KW;DIESEL;S;;5;1461;81;MANUAL 6V;Eurotaxi; ;5 + 1 PMR
SEAT;ALHAMBRA;7N;e1*2007/46*0402;CUVCX0AC;FD6FD62E0317MM5VR2**61;VSSZZZ7NZ;DIESEL;N;;4+1;1968;110;AUTOMµTICO 6V; ;Ecotaxi;5
SEAT;ALHAMBRA;7N;e1*2007/46*0402;CUVCX0AC;FD6FD62E0317MM5VR2**62;VSSZZZ7NZ;DIESEL;N;;4+1;1968;110;AUTOMµTICO 6V; ;Ecotaxi;5
SEAT;ALHAMBRA;7N;e1*2007/46*0402;CUVCX0AC;FM6FM6BB0027MM5VR2**61;VSSZZZ7NZ;DIESEL;N;;4+1;1968;110;MANUAL 6V; ;Ecotaxi;5
SEAT;ALHAMBRA;7N;e1*2007/46*0402;CUVCX0AC;FM6FM6BB0027MM5VR2**62;VSSZZZ7NZ;DIESEL;N;;4+1;1968;110;MANUAL 6V; ;Ecotaxi;5
SEAT;ALTEA XL;5P;e9*2001/116*0050;ACCHGAX01/SGNFM5;0;VSSZZZ5PZ;GLP / GASOLINA;N;;5;1595;75;MANUAL 5V; ;Ecotaxi;5
SEAT;LEON ST;5F;e9*2007/46*0094;FCRLDX0V;FM6SFM62Q0257MM**O561;VSS???5F?????????;DIESEL;N;;5;1968;81;MANUAL 6V; ;Ecotaxi;5
SEAT;TOLEDO;NH;e11*2007/46*0251;AACXMA;NFM5**********762SE;VSSZZZNHZ;DIESEL;N;;5;1598;85;MANUAL 5V; ;Ecotaxi;5
SEAT;TOLEDO;NH;e11*2007/46*0251;AACXMA;NFM5**********763SE;VSSZZZNHZ;DIESEL;N;;5;1598;85;MANUAL 5V; ;Ecotaxi;5
SKODA;SKODA RAPID;NH;e11*2007/46*0250;AACXMA;NFM5**********N762SK;TMB???NH?;DIESEL;N;;5;1598;85;MANUAL 5V; ;Ecotaxi;5
SKODA;SKODA RAPID;NH;e11*2007/46*0250;AACXMA;NFM5**********N763SK;TMB???NH?;DIESEL;N;;5;1598;85;MANUAL 5V; ;Ecotaxi;5
SKODA;SUPERB;3T;e11*2001/116*0326;AACAXCX01/*FM6*******;0;TMB***3T;GASOLINA;N;;5;1390;92;MANUAL 6V; ;Ecotaxi;5
TOYOTA;PRIUS;HW2;e11*2001/116*0200;NHW20 (E);0;JTDKB20U;GASOLINA-ELECTRICIDAD;N;;4;1497;57;AUTOMµTICO; ;Ecotaxi;5
TOYOTA;PRIUS;XW3(A);e11*2001/116*0264;ZVW30(H);0;JTDKN36U;GASOLINA-ELECTRICIDAD;N;;4;1798;73;AUTOMµTICO; ;Ecotaxi;5
TOYOTA;PRIUS PLUS;XW3(a);e11*2001/116*0264;ZVW40(W);ZVW40L-AWXEBW(1?);JTDZS3EU;GASOLINA-ELECTRICIDAD;N;;4+1;1798;73;AUTOMµTICO; ;Ecotaxi;5
TOYOTA;PRIUS PLUS;XW4(a);e11*2007/46*0157;ZVW40(W);ZVW40L-AWXEBW(1?);JTDZS3EU;GASOLINA-ELECTRICIDAD;N;;4+1;1798;73;AUTOMµTICO; ;Ecotaxi;5
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACCAYDX01;L0J2FD7********N1S*****;WV2ZZZ2KZ;DIESEL;S;;4+1;1598;75;AUTOMµTICO 7V;Eurotaxi; ;5
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACCAYDX01;L0J2FM5********N1S*****;WV2ZZZ2KZ;DIESEL;S;;4+1;1598;75;MANUAL 5V;Eurotaxi; ;5
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACCFHCX01;L0J2FD6********N1S*****;WV2ZZZ2KZ;DIESEL;S;;4+1;1968;103;AUTOMµTICO 6V;Eurotaxi; ;5
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACCFHCX01;L0J2FM6********N1S*****;WV2ZZZ2KZ;DIESEL;S;;4+1;1968;103;MANUAL 6V;Eurotaxi; ;5
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;ACCHGAX01;L0J2FM5********N1G*****;WV2ZZZ2KZ;GLP / GASOLINA;S;;5;1595;75;MANUAL 5V;Eurotaxi; ;5
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFCAYDX01;L0J2FD7********N1S*****;WV2ZZZ2KZ;DIESEL;S;;4+1;1598;75;AUTOMµTICO 7V;Eurotaxi; ;5
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFCAYDX01;L0J2FM5********N1S*****;WV2ZZZ2KZ;DIESEL;S;;4+1;1598;75;MANUAL 5V;Eurotaxi; ;5
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFCFHCX01;L0J2FD6********N1S*****;WV2ZZZ2KZ;DIESEL;S;;4+1;1968;103;AUTOMµTICO 6V;Eurotaxi; ;5
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFCFHCX01;L0J2FM6********N1S*****;WV2ZZZ2KZ;DIESEL;S;;4+1;1968;103;MANUAL 6V;Eurotaxi; ;5
VOLKSWAGEN;CADDY;2K;e1*2001/116*0252;AFCHGAX01;L0J2FM5********N1G*****;WV2ZZZ2KZ;GLP / GASOLINA;S;;5;1595;75;MANUAL 5V;Eurotaxi; ;5
VOLKSWAGEN;CARAVELLE;7HC;e1*2001/116*0220;KCAAB300X0/N*FM5******N********;0;WV2???7H?;DIESEL;S;;4+1;1968;75;MANUAL 5V;Eurotaxi; ;5
VOLKSWAGEN;CARAVELLE;7HC;e1*2001/116*0220;KCAAC300X0/N*FM6******N********;0;WV2???7H?;DIESEL;S;;4+1;1968;103;MANUAL 6V;Eurotaxi; ;5
VOLKSWAGEN;CARAVELLE;7HC;e1*2001/116*0220;KCAAD300X0;N*FM5******VR2*****S;WV2ZZZ7HZ;DIESEL;S;;5;1968;84;;Eurotaxi; ;5
VOLKSWAGEN;CARAVELLE;7HC;e1*2001/116*0220;KCCHA300X0/N*FD7******N********;0;WV2???7H?;DIESEL;S;;4+1;1968;103;AUTOMµTICO 7V;Eurotaxi; ;5
VOLKSWAGEN;CARAVELLE;7HC;e1*2001/116*0220;KCFCA300X0/N*FD7******N********;0;WV2???7H?;DIESEL;S;;4+1;1968;132;AUTOMµTICO 7V;Eurotaxi; ;5
VOLKSWAGEN;CARAVELLE;7HC;e1*2001/116*0220;KCFCA300X0/N*FM6******N********;0;WV2???7H?;DIESEL;S;;4+1;1968;132;MANUAL 6V;Eurotaxi; ;5
