id,title,calle,motivo,tramo,desvio,observaciones,link,lastUpdated,inicio,fin,inicio_comment,fin_comment,geometry,description,icon,tipo
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1182","C/ Cereros","CALLE CEREROS ","","Entre la C/ Calatorao y la C/ Santa Inés","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-23T00:00:00Z,2009-06-23T00:00:00Z,"","","675843.078027803 4614050.57005605","<ul><li>Direcci&oacute;n: CALLE CEREROS </li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-23</li><li>Finalizaci&oacute;n: 2009-06-23</li><li>Tramo: Entre la C/ Calatorao y la C/ Santa Inés</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1195","C/ Silvestre Pérez, lado impares","CALLE SILVESTRE PEREZ","","Entre la C/ Doctor Iranzo y Monasterio de Guadalupe","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","678162.836043974 4613117.62006374","<ul><li>Direcci&oacute;n: CALLE SILVESTRE PEREZ</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Tramo: Entre la C/ Doctor Iranzo y Monasterio de Guadalupe</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1196","Avenida Compromiso de Caspe, lado pares","AVENIDA COMPROMISO DE CASPE","","Desde la C/ Florentino Ballesteros hasta la C/ Herrerín","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","677312.635971772 4612908.41006532","<ul><li>Direcci&oacute;n: AVENIDA COMPROMISO DE CASPE</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Tramo: Desde la C/ Florentino Ballesteros hasta la C/ Herrerín</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1197","C/ Florentino Ballesteros, lado impares","CALLE FLORENTINO BALLESTEROS","","Desde Compromiso de Caspe hasta la C/ Herrerín y adyacentes","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","677570.735027055 4612839.53002968","<ul><li>Direcci&oacute;n: CALLE FLORENTINO BALLESTEROS</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Tramo: Desde Compromiso de Caspe hasta la C/ Herrerín y adyacentes</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1198","C/ Victor Balaguer","Victor Balaguer","","","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","","<ul><li>Direcci&oacute;n: Victor Balaguer</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1199","C/ Salvatella","CALLE SALVATELLA","","","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","681018.689924114 4615185.92002972","<ul><li>Direcci&oacute;n: CALLE SALVATELLA</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1200","C/ Huerta Alta","CALLE HUERTA ALTA","","","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","680921.956032572 4615177.5300706","<ul><li>Direcci&oacute;n: CALLE HUERTA ALTA</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1201","C/ Huerta Honda","CALLE HUERTA HONDA","","","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","680931.374078687 4615132.34004076","<ul><li>Direcci&oacute;n: CALLE HUERTA HONDA</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1202","C/ Galán","CALLE ALCALDE GALAN GIMENEZ","","","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","674919.279932926 4612743.58007896","<ul><li>Direcci&oacute;n: CALLE ALCALDE GALAN GIMENEZ</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1203","C/ Coso Bajo,lado pares","CALLE COSO","","Desde la C/ Doctor Palomar hasta la C/ Arcadas y adyacentes","","Desde las 10 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-25T00:00:00Z,2009-06-25T00:00:00Z,"","","676331.331990742 4613731.91996918","<ul><li>Direcci&oacute;n: CALLE COSO</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-25</li><li>Finalizaci&oacute;n: 2009-06-25</li><li>Tramo: Desde la C/ Doctor Palomar hasta la C/ Arcadas y adyacentes</li><li>Observaciones: Desde las 10 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1204","Avenida Madrid, lado pares ","AVENIDA MADRID","","Desde la Plaza Huesca hasta la calle Arias","","Desde las 8 hasta las 18 horas","",2015-09-24T00:00:00Z,2009-08-25T00:00:00Z,2009-08-25T00:00:00Z,"","","675437.985024166 4613940.87995408","<ul><li>Direcci&oacute;n: AVENIDA MADRID</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-08-25</li><li>Finalizaci&oacute;n: 2009-08-25</li><li>Tramo: Desde la Plaza Huesca hasta la calle Arias</li><li>Observaciones: Desde las 8 hasta las 18 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1205","Paseo Sagasta, lado impares ","PASEO SAGASTA","","Desde el Paseo de las damas hasta la C/ Bolonia","","Desde las 8 hasta las 18 horas","",2015-09-24T00:00:00Z,2009-06-26T00:00:00Z,2009-06-26T00:00:00Z,"","","676171.293007067 4612905.67800728","<ul><li>Direcci&oacute;n: PASEO SAGASTA</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-26</li><li>Finalizaci&oacute;n: 2009-06-26</li><li>Tramo: Desde el Paseo de las damas hasta la C/ Bolonia</li><li>Observaciones: Desde las 8 hasta las 18 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1206","Paseo Colón","PASEO CRISTOBAL COLON","","El tramo comprendido entre las calles Maestro Estremiana y el Paseo Col&oacute;n","","Desde las 8 hasta las 14 horas","",2015-09-24T00:00:00Z,2009-06-26T00:00:00Z,2009-06-26T00:00:00Z,"","","676199.966985629 4611467.39995232","<ul><li>Direcci&oacute;n: PASEO CRISTOBAL COLON</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-26</li><li>Finalizaci&oacute;n: 2009-06-26</li><li>Tramo: El tramo comprendido entre las calles Maestro Estremiana y el Paseo Col&oacute;n</li><li>Observaciones: Desde las 8 hasta las 14 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1207","C/ Urano ","CALLE URANO","","Ddesde las 10 hasta las 12 horasesde la C/ Saturno hasta la C/ Estrella de la Ma&ntilde;ana y adyacentes","","Desde las 10 hasta las 12 horas","",2015-09-24T00:00:00Z,2009-06-26T00:00:00Z,2009-06-26T00:00:00Z,"","","672296.30193577 4611627.23993569","<ul><li>Direcci&oacute;n: CALLE URANO</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-06-26</li><li>Finalizaci&oacute;n: 2009-06-26</li><li>Tramo: Ddesde las 10 hasta las 12 horasesde la C/ Saturno hasta la C/ Estrella de la Ma&ntilde;ana y adyacentes</li><li>Observaciones: Desde las 10 hasta las 12 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1266","Paseo de las Damas","PASEO DAMAS","","El lado par desde el Paseo Sagasta hasta la C/ León III, y el lado impar desde el Ps. Sagasta hasta la C/ San Ignacio de Loyola","","Desde las 8 hasta las 18 hora","",2015-09-24T00:00:00Z,2009-07-13T00:00:00Z,2009-07-13T00:00:00Z,"","","676301.849950146 4612758.0200725","<ul><li>Direcci&oacute;n: PASEO DAMAS</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-07-13</li><li>Finalizaci&oacute;n: 2009-07-13</li><li>Tramo: El lado par desde el Paseo Sagasta hasta la C/ León III, y el lado impar desde el Ps. Sagasta hasta la C/ San Ignacio de Loyola</li><li>Observaciones: Desde las 8 hasta las 18 hora</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1267","C/ San Ignacio de Loyola lado pares","CALLE SAN IGNACIO DE LOYOLA","","Desde el Paseo de las Damas hasta la C/ Arquitecto Yarza","","Desde las 8 hasta las 18 horas","",2015-09-24T00:00:00Z,2009-07-13T00:00:00Z,2009-07-13T00:00:00Z,"","","676451.804945499 4613023.33007908","<ul><li>Direcci&oacute;n: CALLE SAN IGNACIO DE LOYOLA</li><li>Tipo: Cortes de Agua</li><li>Inicio: 2009-07-13</li><li>Finalizaci&oacute;n: 2009-07-13</li><li>Tramo: Desde el Paseo de las Damas hasta la C/ Arquitecto Yarza</li><li>Observaciones: Desde las 8 hasta las 18 horas</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdeagua.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/0"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1156","C/ Silvestre Pérez","CALLE SILVESTRE PEREZ","Remodelaci&oacute;n Integral","","","<p>Adem&aacute;s de cortarse la calle Silvestre P&eacute;rez, quedar&aacute; tambi&eacute;n afectada la calle Monasterio de Guadalupe, que quedar&aacute; en fondo de saco como entrada y salida de los garajes de las comunidades de vecinos, mientras lo permita la obra. Adem&aacute;s, el tramo inicial de la calle Silvestre P&eacute;rez ya estaba afectado por las obras de remodelaci&oacute;n de la calle Doctor Iranzo, tambi&eacute;n del Fondo Local, que se est&aacute;n ejecutando actualmente. Sobre las afecciones a las calles Minas y Flori&aacute;n Rey, se informar&aacute; oportunamente cuando se vayan a acometer los trabajos. </p>","http://www.zaragoza.es/ciudad/noticias/detalleM_Noticia?id=82349",2015-09-24T00:00:00Z,2009-06-15T00:00:00Z,"","","Sin determinar","678162.836043974 4613117.62006374","<ul><li>Direcci&oacute;n: CALLE SILVESTRE PEREZ</li><li>Tipo: Cortes de Tráfico</li><li>Inicio: 2009-06-15</li><li>Motivo: Remodelaci&oacute;n Integral</li><li>Observaciones: <p>Adem&aacute;s de cortarse la calle Silvestre P&eacute;rez, quedar&aacute; tambi&eacute;n afectada la calle Monasterio de Guadalupe, que quedar&aacute; en fondo de saco como entrada y salida de los garajes de las comunidades de vecinos, mientras lo permita la obra. Adem&aacute;s, el tramo inicial de la calle Silvestre P&eacute;rez ya estaba afectado por las obras de remodelaci&oacute;n de la calle Doctor Iranzo, tambi&eacute;n del Fondo Local, que se est&aacute;n ejecutando actualmente. Sobre las afecciones a las calles Minas y Flori&aacute;n Rey, se informar&aacute; oportunamente cuando se vayan a acometer los trabajos. </p></li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdetrafico.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/1"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1157","C/ Victor Balaguer","CALLE VICTOR BALAGUER","Remodelaci&oacute;n","<p>Como consecuencia de las obras, en una primera fase se va a cortar el tr&aacute;fico rodado en el tramo de la calle comprendido entre las calles Huerta Alta y Salvatella. M&aacute;s adelante, a medida que avance la ejecuci&oacute;n de los trabajos, ser&aacute; necesario cortar la circulaci&oacute;n en la totalidad de la calle. </p>","","","http://www.zaragoza.es/ciudad/noticias/detalleM_Noticia?id=82428",2015-09-24T00:00:00Z,2009-06-16T00:00:00Z,"","","Sin determinar","680994.099934745 4615234.31003737","<ul><li>Direcci&oacute;n: CALLE VICTOR BALAGUER</li><li>Tipo: Cortes de Tráfico</li><li>Inicio: 2009-06-16</li><li>Tramo: <p>Como consecuencia de las obras, en una primera fase se va a cortar el tr&aacute;fico rodado en el tramo de la calle comprendido entre las calles Huerta Alta y Salvatella. M&aacute;s adelante, a medida que avance la ejecuci&oacute;n de los trabajos, ser&aacute; necesario cortar la circulaci&oacute;n en la totalidad de la calle. </p></li><li>Motivo: Remodelaci&oacute;n</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdetrafico.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/1"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1230","C/ Juan Bautista del Mazo","CALLE JUAN BAUTISTA DEL MAZO","","Entre Río Cinca y Pedro de Aragón","","Esta afección está provocada por las obras de pavimentación y renovación de servicios de estas vías, incluidas dentro del Fondo Estatal de Inversión Local &#40;FEIL&#41;.","",2015-09-24T00:00:00Z,2009-06-29T00:00:00Z,"",""," Duración prevista de cinco meses","674924.215011256 4614390.88005176","<ul><li>Direcci&oacute;n: CALLE JUAN BAUTISTA DEL MAZO</li><li>Tipo: Cortes de Tráfico</li><li>Inicio: 2009-06-29</li><li>Tramo: Entre Río Cinca y Pedro de Aragón</li><li>Observaciones: Esta afección está provocada por las obras de pavimentación y renovación de servicios de estas vías, incluidas dentro del Fondo Estatal de Inversión Local &#40;FEIL&#41;.</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdetrafico.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/1"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1231","C/ Juan Bautista del Mazo","CALLE JUAN BAUTISTA DEL MAZO","","Entre R&iacute;o Cinca y Pedro de Arag&oacute;n","","Esta afecci&oacute;n est&aacute; provocada por las obras de pavimentaci&oacute;n y renovaci&oacute;n de servicios de estas v&iacute;as, incluidas dentro del Fondo Estatal de Inversi&oacute;n Local &#40;FEIL&#41;.","",2015-09-24T00:00:00Z,2009-06-29T00:00:00Z,"","","Duración prevista de cinco meses","674924.215011256 4614390.88005176","<ul><li>Direcci&oacute;n: CALLE JUAN BAUTISTA DEL MAZO</li><li>Tipo: Afecciones Importantes</li><li>Inicio: 2009-06-29</li><li>Tramo: Entre R&iacute;o Cinca y Pedro de Arag&oacute;n</li><li>Observaciones: Esta afecci&oacute;n est&aacute; provocada por las obras de pavimentaci&oacute;n y renovaci&oacute;n de servicios de estas v&iacute;as, incluidas dentro del Fondo Estatal de Inversi&oacute;n Local &#40;FEIL&#41;.</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/afeccionesimportantes.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/2"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1232","C/ Río Ebro","CALLE RIO EBRO","","","","Esta afección está provocada por las obras de pavimentación y renovación de servicios de estas vías, incluidas dentro del Fondo Estatal de Inversión Local &#40;FEIL&#41;.","",2015-09-24T00:00:00Z,2009-06-29T00:00:00Z,"","","Duración prevista de cinco meses","675126.423000601 4614368.40002025","<ul><li>Direcci&oacute;n: CALLE RIO EBRO</li><li>Tipo: Cortes de Tráfico</li><li>Inicio: 2009-06-29</li><li>Observaciones: Esta afección está provocada por las obras de pavimentación y renovación de servicios de estas vías, incluidas dentro del Fondo Estatal de Inversión Local &#40;FEIL&#41;.</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/cortesdetrafico.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/1"
"http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/incidencia/via-publica/1233","C/ Río Ebro","C/ Río Ebro","","","","Esta afecci&oacute;n est&aacute; provocada por las obras de pavimentaci&oacute;n y renovaci&oacute;n de servicios de estas v&iacute;as, incluidas dentro del Fondo Estatal de Inversi&oacute;n Local &#40;FEIL&#41;.","",2015-09-24T00:00:00Z,2009-06-29T00:00:00Z,"","","Duración prevista de cinco meses","","<ul><li>Direcci&oacute;n: C/ Río Ebro</li><li>Tipo: Afecciones Importantes</li><li>Inicio: 2009-06-29</li><li>Observaciones: Esta afecci&oacute;n est&aacute; provocada por las obras de pavimentaci&oacute;n y renovaci&oacute;n de servicios de estas v&iacute;as, incluidas dentro del Fondo Estatal de Inversi&oacute;n Local &#40;FEIL&#41;.</li></ul>","//www.zaragoza.es/cont/paginas/img/incidencias/afeccionesimportantes.gif","http://www.zaragoza.es/apirecurso/servicio-publico/incidencia/via-publica/tipo/2"
