id,tittle,description,lastUpdated,geometry,icon
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/1,Vehículos,Plaza del Pilar - Juzgados,2013-04-10T00:00:00Z,676551.94 4614112.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/2,Peatonal - Accesible,Plaza del Pilar - Juzgados,2013-04-10T00:00:00Z,676615.8 4614043.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/3,Vehículos,Ayuntamiento,2013-04-10T00:00:00Z,676815.8 4614011.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/4,Peatonal,Ayuntamiento,2013-04-10T00:00:00Z,676844.1 4613934.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/5,Peatonal - Accesible,Ayuntamiento,2013-04-10T00:00:00Z,676784.1 4613940.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/6,Vehículos,César Augusto,2013-04-10T00:00:00Z,676293.0 4613774.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/7,Peatonal,César Augusto,2013-04-10T00:00:00Z,676269.5 4613820.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/8,Peatonal - Accesible,César Augusto,2013-04-10T00:00:00Z,676330.3 4613892.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/9,Vehículos,Salamero,2013-04-10T00:00:00Z,676348.94 4613579.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/10,Vehículos,Salamero,2013-04-10T00:00:00Z,676255.7 4613541.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/11,Peatonal,Salamero,2013-04-10T00:00:00Z,676336.44 4613567.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/12,Peatonal,Salamero,2013-04-10T00:00:00Z,676260.0 4613560.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/13,Peatonal - Accesible,Salamero,2013-04-10T00:00:00Z,676270.1 4613529.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/14,Vehículos,Audiorama,2013-04-10T00:00:00Z,674994.9 4611819.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/15,Vehículos,Audiorama,2013-04-10T00:00:00Z,675043.94 4611929.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/16,Peatonal - Accesible,Audiorama,2013-04-10T00:00:00Z,675041.44 4611848.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/17,Peatonal,Audiorama,2013-04-10T00:00:00Z,675035.44 4611923.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/18,Vehículos,Villahermosa,2013-04-10T00:00:00Z,674424.5 4612885.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/19,Peatonal - Accesible,Villahermosa,2013-04-10T00:00:00Z,674362.44 4612976.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/20,Vehículos,Seminario,2013-04-10T00:00:00Z,674101.7 4611590.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/21,Peatonal,Seminario,2013-04-10T00:00:00Z,674106.6 4611597.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/22,Vehículos,Hospital Clínico,2013-04-10T00:00:00Z,674782.44 4612593.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/23,Peatonal - Accesible,Hospital Clínico,2013-04-10T00:00:00Z,674785.4 4612588.0,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/24,Vehículos,Hospital Clínico,2013-04-10T00:00:00Z,674750.0 4612437.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/equipamiento/aparcamiento-accesos/25,Peatonal,Hospital Clínico,2013-04-10T00:00:00Z,674755.94 4612424.5,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png
