"Año","Comunidad autónoma","Provincia","Llamante","Número de llamadas pertinentes"
"Año 2011","Castilla - La Mancha","Ciudad Real","Otros","13.0"
"Año 2011","Castilla - La Mancha","Cuenca","Usuaria","161.0"
"Año 2011","Castilla - La Mancha","Cuenca","Familiares/Personas allegadas","50.0"
"Año 2011","Castilla - La Mancha","Cuenca","Otros","20.0"
"Año 2011","Castilla - La Mancha","Guadalajara","Usuaria","259.0"
"Año 2011","Castilla - La Mancha","Guadalajara","Familiares/Personas allegadas","89.0"
"Año 2011","Castilla - La Mancha","Guadalajara","Otros","12.0"
"Año 2011","Castilla - La Mancha","Toledo","Usuaria","808.0"
"Año 2011","Castilla - La Mancha","Toledo","Familiares/Personas allegadas","209.0"
"Año 2011","Castilla - La Mancha","Toledo","Otros","34.0"
"Año 2011","Cataluña","Barcelona","Usuaria","5327.0"
"Año 2011","Cataluña","Barcelona","Familiares/Personas allegadas","1534.0"
"Año 2011","Cataluña","Barcelona","Otros","138.0"
"Año 2011","Cataluña","Girona","Usuaria","461.0"
"Año 2011","Cataluña","Girona","Familiares/Personas allegadas","135.0"
"Año 2011","Cataluña","Girona","Otros","9.0"
"Año 2011","Cataluña","Lleida","Usuaria","215.0"
"Año 2011","Cataluña","Lleida","Familiares/Personas allegadas","73.0"
"Año 2011","Cataluña","Lleida","Otros","6.0"
"Año 2011","Cataluña","Tarragona","Usuaria","646.0"
"Año 2011","Cataluña","Tarragona","Familiares/Personas allegadas","187.0"
"Año 2011","Cataluña","Tarragona","Otros","17.0"
"Año 2011","Comunidad Valenciana","Alicante","Usuaria","2094.0"
"Año 2011","Comunidad Valenciana","Alicante","Familiares/Personas allegadas","547.0"
"Año 2011","Comunidad Valenciana","Alicante","Otros","82.0"
"Año 2011","Comunidad Valenciana","Castellón","Usuaria","539.0"
"Año 2011","Comunidad Valenciana","Castellón","Familiares/Personas allegadas","151.0"
"Año 2011","Comunidad Valenciana","Castellón","Otros","20.0"
"Año 2011","Comunidad Valenciana","Valencia","Usuaria","2994.0"
"Año 2011","Comunidad Valenciana","Valencia","Familiares/Personas allegadas","810.0"
"Año 2011","Comunidad Valenciana","Valencia","Otros","114.0"
"Año 2011","Extremadura","Badajoz","Usuaria","703.0"
"Año 2011","Extremadura","Badajoz","Familiares/Personas allegadas","259.0"
"Año 2011","Extremadura","Badajoz","Otros","15.0"
"Año 2011","Extremadura","Cáceres","Usuaria","437.0"
"Año 2011","Extremadura","Cáceres","Familiares/Personas allegadas","148.0"
"Año 2011","Extremadura","Cáceres","Otros","22.0"
"Año 2011","Galicia","A Coruña","Usuaria","1044.0"
"Año 2011","Galicia","A Coruña","Familiares/Personas allegadas","396.0"
"Año 2011","Galicia","A Coruña","Otros","43.0"
"Año 2011","Galicia","Lugo","Usuaria","277.0"
"Año 2011","Galicia","Lugo","Familiares/Personas allegadas","87.0"
"Año 2011","Galicia","Lugo","Otros","9.0"
"Año 2011","Galicia","Ourense","Usuaria","210.0"
"Año 2011","Galicia","Ourense","Familiares/Personas allegadas","78.0"
"Año 2011","Galicia","Ourense","Otros","6.0"
"Año 2011","Galicia","Pontevedra","Usuaria","857.0"
"Año 2011","Galicia","Pontevedra","Familiares/Personas allegadas","297.0"
"Año 2011","Galicia","Pontevedra","Otros","15.0"
"Año 2011","Comunidad de Madrid","Madrid","Usuaria","11501.0"
"Año 2011","Comunidad de Madrid","Madrid","Familiares/Personas allegadas","3492.0"
"Año 2011","Comunidad de Madrid","Madrid","Otros","525.0"
"Año 2011","Región de Murcia","Murcia","Usuaria","1411.0"
"Año 2011","Región de Murcia","Murcia","Familiares/Personas allegadas","520.0"
"Año 2011","Región de Murcia","Murcia","Otros","58.0"
"Año 2011","Comunidad Foral de Navarra","Navarra","Usuaria","582.0"
"Año 2011","Comunidad Foral de Navarra","Navarra","Familiares/Personas allegadas","218.0"
"Año 2011","Comunidad Foral de Navarra","Navarra","Otros","24.0"
"Año 2011","País Vasco","Álava","Usuaria","177.0"
"Año 2011","País Vasco","Álava","Familiares/Personas allegadas","83.0"
"Año 2011","País Vasco","Álava","Otros","10.0"
"Año 2011","País Vasco","Guipúzcoa","Usuaria","411.0"
"Año 2011","País Vasco","Guipúzcoa","Familiares/Personas allegadas","154.0"
"Año 2011","País Vasco","Guipúzcoa","Otros","16.0"
"Año 2011","País Vasco","Vizcaya","Usuaria","828.0"
"Año 2011","País Vasco","Vizcaya","Familiares/Personas allegadas","289.0"
"Año 2011","País Vasco","Vizcaya","Otros","25.0"
"Año 2011","La Rioja","La Rioja","Usuaria","277.0"
"Año 2011","La Rioja","La Rioja","Familiares/Personas allegadas","129.0"
"Año 2011","La Rioja","La Rioja","Otros","4.0"
"Año 2011","Ceuta","Ceuta","Usuaria","82.0"
"Año 2011","Ceuta","Ceuta","Familiares/Personas allegadas","30.0"
"Año 2011","Ceuta","Ceuta","Otros","5.0"
"Año 2011","Melilla","Melilla","Usuaria","109.0"
"Año 2011","Melilla","Melilla","Familiares/Personas allegadas","21.0"
"Año 2011","Melilla","Melilla","Otros","6.0"
"Año 2012","Andalucía","Almería","Usuaria","492.0"
"Año 2012","Andalucía","Almería","Familiares/Personas allegadas","162.0"
"Año 2012","Andalucía","Almería","Otros","13.0"
"Año 2012","Andalucía","Cádiz","Usuaria","918.0"
"Año 2012","Andalucía","Cádiz","Familiares/Personas allegadas","276.0"
"Año 2012","Andalucía","Cádiz","Otros","35.0"
"Año 2012","Andalucía","Córdoba","Usuaria","523.0"
"Año 2012","Andalucía","Córdoba","Familiares/Personas allegadas","202.0"
"Año 2012","Andalucía","Córdoba","Otros","23.0"
"Año 2012","Andalucía","Granada","Usuaria","902.0"
"Año 2012","Andalucía","Granada","Familiares/Personas allegadas","272.0"
"Año 2012","Andalucía","Granada","Otros","34.0"
"Año 2012","Andalucía","Huelva","Usuaria","367.0"
"Año 2012","Andalucía","Huelva","Familiares/Personas allegadas","131.0"
"Año 2012","Andalucía","Huelva","Otros","11.0"
"Año 2012","Andalucía","Jaén","Usuaria","478.0"
"Año 2012","Andalucía","Jaén","Familiares/Personas allegadas","155.0"
"Año 2012","Andalucía","Jaén","Otros","22.0"
"Año 2012","Andalucía","Málaga","Usuaria","1520.0"
"Año 2012","Andalucía","Málaga","Familiares/Personas allegadas","499.0"
"Año 2012","Andalucía","Málaga","Otros","55.0"
"Año 2012","Andalucía","Sevilla","Usuaria","2047.0"
"Año 2012","Andalucía","Sevilla","Familiares/Personas allegadas","665.0"
"Año 2012","Andalucía","Sevilla","Otros","57.0"
"Año 2012","Aragón","Huesca","Usuaria","81.0"
"Año 2012","Aragón","Huesca","Familiares/Personas allegadas","43.0"
"Año 2012","Aragón","Huesca","Otros","10.0"
"Año 2012","Aragón","Teruel","Usuaria","43.0"
"Año 2012","Aragón","Teruel","Familiares/Personas allegadas","16.0"
"Año 2012","Aragón","Teruel","Otros","4.0"
"Año 2012","Aragón","Zaragoza","Usuaria","625.0"
"Año 2012","Aragón","Zaragoza","Familiares/Personas allegadas","175.0"
"Año 2012","Aragón","Zaragoza","Otros","32.0"
"Año 2012","Principado de Asturias","Asturias","Usuaria","852.0"
"Año 2012","Principado de Asturias","Asturias","Familiares/Personas allegadas","330.0"
"Año 2012","Principado de Asturias","Asturias","Otros","18.0"
"Año 2012","Islas Baleares","Islas Baleares","Usuaria","909.0"
"Año 2012","Islas Baleares","Islas Baleares","Familiares/Personas allegadas","299.0"
"Año 2012","Islas Baleares","Islas Baleares","Otros","28.0"
"Año 2012","Canarias","Las Palmas","Usuaria","1379.0"
"Año 2012","Canarias","Las Palmas","Familiares/Personas allegadas","494.0"
"Año 2012","Canarias","Las Palmas","Otros","37.0"
"Año 2012","Canarias","Santa Cruz de Tenerife","Usuaria","1207.0"
"Año 2012","Canarias","Santa Cruz de Tenerife","Familiares/Personas allegadas","375.0"
"Año 2012","Canarias","Santa Cruz de Tenerife","Otros","40.0"
"Año 2012","Cantabria","Cantabria","Usuaria","474.0"
"Año 2012","Cantabria","Cantabria","Familiares/Personas allegadas","142.0"
"Año 2012","Cantabria","Cantabria","Otros","5.0"
"Año 2012","Castilla y León","Ávila","Usuaria","175.0"
"Año 2012","Castilla y León","Ávila","Familiares/Personas allegadas","67.0"
"Año 2012","Castilla y León","Ávila","Otros","6.0"
"Año 2012","Castilla y León","Burgos","Usuaria","254.0"
"Año 2012","Castilla y León","Burgos","Familiares/Personas allegadas","84.0"
"Año 2012","Castilla y León","Burgos","Otros","7.0"
"Año 2012","Castilla y León","León","Usuaria","361.0"
"Año 2012","Castilla y León","León","Familiares/Personas allegadas","112.0"
"Año 2012","Castilla y León","León","Otros","7.0"
"Año 2012","Castilla y León","Palencia","Usuaria","86.0"
"Año 2012","Castilla y León","Palencia","Familiares/Personas allegadas","27.0"
"Año 2012","Castilla y León","Palencia","Otros","3.0"
"Año 2012","Castilla y León","Salamanca","Usuaria","280.0"
"Año 2012","Castilla y León","Salamanca","Familiares/Personas allegadas","94.0"
"Año 2012","Castilla y León","Salamanca","Otros","7.0"
"Año 2012","Castilla y León","Segovia","Usuaria","102.0"
"Año 2012","Castilla y León","Segovia","Familiares/Personas allegadas","60.0"
"Año 2012","Castilla y León","Segovia","Otros","5.0"
"Año 2012","Castilla y León","Soria","Usuaria","50.0"
"Año 2012","Castilla y León","Soria","Familiares/Personas allegadas","15.0"
"Año 2012","Castilla y León","Soria","Otros","2.0"
"Año 2012","Castilla y León","Valladolid","Usuaria","453.0"
"Año 2012","Castilla y León","Valladolid","Familiares/Personas allegadas","165.0"
"Año 2012","Castilla y León","Valladolid","Otros","15.0"
"Año 2012","Castilla y León","Zamora","Usuaria","134.0"
"Año 2012","Castilla y León","Zamora","Familiares/Personas allegadas","62.0"
"Año 2012","Castilla y León","Zamora","Otros","3.0"
"Año 2012","Castilla - La Mancha","Albacete","Usuaria","215.0"
"Año 2012","Castilla - La Mancha","Albacete","Familiares/Personas allegadas","74.0"
"Año 2012","Castilla - La Mancha","Albacete","Otros","8.0"
"Año 2012","Castilla - La Mancha","Ciudad Real","Usuaria","353.0"
"Año 2012","Castilla - La Mancha","Ciudad Real","Familiares/Personas allegadas","118.0"
"Año 2012","Castilla - La Mancha","Ciudad Real","Otros","9.0"
"Año 2012","Castilla - La Mancha","Cuenca","Usuaria","124.0"
"Año 2012","Castilla - La Mancha","Cuenca","Familiares/Personas allegadas","36.0"
"Año 2012","Castilla - La Mancha","Cuenca","Otros","8.0"
"Año 2012","Castilla - La Mancha","Guadalajara","Usuaria","194.0"
"Año 2012","Castilla - La Mancha","Guadalajara","Familiares/Personas allegadas","46.0"
"Año 2012","Castilla - La Mancha","Guadalajara","Otros","9.0"
"Año 2012","Castilla - La Mancha","Toledo","Usuaria","682.0"
"Año 2012","Castilla - La Mancha","Toledo","Familiares/Personas allegadas","164.0"
"Año 2012","Castilla - La Mancha","Toledo","Otros","27.0"
"Año 2012","Cataluña","Barcelona","Usuaria","4301.0"
"Año 2012","Cataluña","Barcelona","Familiares/Personas allegadas","1249.0"
"Año 2012","Cataluña","Barcelona","Otros","83.0"
"Año 2012","Cataluña","Girona","Usuaria","432.0"
"Año 2012","Cataluña","Girona","Familiares/Personas allegadas","97.0"
"Año 2012","Cataluña","Girona","Otros","4.0"
"Año 2012","Cataluña","Lleida","Usuaria","254.0"
"Año 2012","Cataluña","Lleida","Familiares/Personas allegadas","62.0"
"Año 2012","Cataluña","Lleida","Otros","5.0"
"Año 2012","Cataluña","Tarragona","Usuaria","524.0"
"Año 2012","Cataluña","Tarragona","Familiares/Personas allegadas","137.0"
"Año 2012","Cataluña","Tarragona","Otros","9.0"
"Año 2012","Comunidad Valenciana","Alicante","Usuaria","1735.0"
"Año 2012","Comunidad Valenciana","Alicante","Familiares/Personas allegadas","465.0"
"Año 2012","Comunidad Valenciana","Alicante","Otros","56.0"
"Año 2012","Comunidad Valenciana","Castellón","Usuaria","500.0"
"Año 2012","Comunidad Valenciana","Castellón","Familiares/Personas allegadas","127.0"
"Año 2012","Comunidad Valenciana","Castellón","Otros","23.0"
"Año 2012","Comunidad Valenciana","Valencia","Usuaria","2460.0"
"Año 2012","Comunidad Valenciana","Valencia","Familiares/Personas allegadas","640.0"
"Año 2012","Comunidad Valenciana","Valencia","Otros","87.0"
"Año 2012","Extremadura","Badajoz","Usuaria","577.0"
"Año 2012","Extremadura","Badajoz","Familiares/Personas allegadas","202.0"
"Año 2012","Extremadura","Badajoz","Otros","27.0"
"Año 2012","Extremadura","Cáceres","Usuaria","390.0"
"Año 2012","Extremadura","Cáceres","Familiares/Personas allegadas","101.0"
"Año 2012","Extremadura","Cáceres","Otros","12.0"
"Año 2012","Galicia","A Coruña","Usuaria","868.0"
"Año 2012","Galicia","A Coruña","Familiares/Personas allegadas","300.0"
"Año 2012","Galicia","A Coruña","Otros","23.0"
"Año 2012","Galicia","Lugo","Usuaria","221.0"
"Año 2012","Galicia","Lugo","Familiares/Personas allegadas","69.0"
"Año 2012","Galicia","Lugo","Otros","9.0"
"Año 2012","Galicia","Ourense","Usuaria","196.0"
"Año 2012","Galicia","Ourense","Familiares/Personas allegadas","75.0"
"Año 2012","Galicia","Ourense","Otros","5.0"
"Año 2012","Galicia","Pontevedra","Usuaria","578.0"
"Año 2012","Galicia","Pontevedra","Familiares/Personas allegadas","197.0"
"Año 2012","Galicia","Pontevedra","Otros","15.0"
"Año 2012","Comunidad de Madrid","Madrid","Usuaria","9141.0"
"Año 2012","Comunidad de Madrid","Madrid","Familiares/Personas allegadas","2834.0"
"Año 2012","Comunidad de Madrid","Madrid","Otros","360.0"
"Año 2012","Región de Murcia","Murcia","Usuaria","1128.0"
"Año 2012","Región de Murcia","Murcia","Familiares/Personas allegadas","368.0"
"Año 2012","Región de Murcia","Murcia","Otros","31.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","Usuaria","507.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","Familiares/Personas allegadas","177.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","Otros","12.0"
"Año 2012","País Vasco","Álava","Usuaria","183.0"
"Año 2012","País Vasco","Álava","Familiares/Personas allegadas","60.0"
"Año 2012","País Vasco","Álava","Otros","1.0"
"Año 2012","País Vasco","Guipúzcoa","Usuaria","321.0"
"Año 2012","País Vasco","Guipúzcoa","Familiares/Personas allegadas","92.0"
"Año 2012","País Vasco","Guipúzcoa","Otros","8.0"
"Año 2012","País Vasco","Vizcaya","Usuaria","591.0"
"Año 2012","País Vasco","Vizcaya","Familiares/Personas allegadas","219.0"
"Año 2012","País Vasco","Vizcaya","Otros","11.0"
"Año 2012","La Rioja","La Rioja","Usuaria","162.0"
"Año 2012","La Rioja","La Rioja","Familiares/Personas allegadas","72.0"
"Año 2012","La Rioja","La Rioja","Otros","5.0"
"Año 2012","Ceuta","Ceuta","Usuaria","87.0"
"Año 2012","Ceuta","Ceuta","Familiares/Personas allegadas","16.0"
"Año 2012","Ceuta","Ceuta","Otros","1.0"
"Año 2012","Melilla","Melilla","Usuaria","107.0"
"Año 2012","Melilla","Melilla","Familiares/Personas allegadas","19.0"
"Año 2012","Melilla","Melilla","Otros","2.0"
"Año 2013","Andalucía","Almería","Usuaria","453.0"
"Año 2013","Andalucía","Almería","Familiares/Personas allegadas","241.0"
"Año 2013","Andalucía","Almería","Otros","18.0"
"Año 2013","Andalucía","Cádiz","Usuaria","844.0"
"Año 2013","Andalucía","Cádiz","Familiares/Personas allegadas","494.0"
"Año 2013","Andalucía","Cádiz","Otros","33.0"
"Año 2013","Andalucía","Córdoba","Usuaria","568.0"
"Año 2013","Andalucía","Córdoba","Familiares/Personas allegadas","311.0"
"Año 2013","Andalucía","Córdoba","Otros","15.0"
"Año 2013","Andalucía","Granada","Usuaria","746.0"
"Año 2013","Andalucía","Granada","Familiares/Personas allegadas","409.0"
"Año 2013","Andalucía","Granada","Otros","34.0"
"Año 2013","Andalucía","Huelva","Usuaria","395.0"
"Año 2013","Andalucía","Huelva","Familiares/Personas allegadas","193.0"
"Año 2013","Andalucía","Huelva","Otros","19.0"
"Año 2013","Andalucía","Jaén","Usuaria","491.0"
"Año 2013","Andalucía","Jaén","Familiares/Personas allegadas","252.0"
"Año 2013","Andalucía","Jaén","Otros","8.0"
"Año 2013","Andalucía","Málaga","Usuaria","1428.0"
"Año 2013","Andalucía","Málaga","Familiares/Personas allegadas","679.0"
"Año 2013","Andalucía","Málaga","Otros","60.0"
"Año 2013","Andalucía","Sevilla","Usuaria","2106.0"
"Año 2013","Andalucía","Sevilla","Familiares/Personas allegadas","1141.0"
"Año 2013","Andalucía","Sevilla","Otros","83.0"
"Año 2013","Aragón","Huesca","Usuaria","91.0"
"Año 2013","Aragón","Huesca","Familiares/Personas allegadas","48.0"
"Año 2013","Aragón","Huesca","Otros","6.0"
"Año 2013","Aragón","Teruel","Usuaria","57.0"
"Año 2013","Aragón","Teruel","Familiares/Personas allegadas","27.0"
"Año 2013","Aragón","Teruel","Otros","6.0"
"Año 2013","Aragón","Zaragoza","Usuaria","669.0"
"Año 2013","Aragón","Zaragoza","Familiares/Personas allegadas","281.0"
"Año 2013","Aragón","Zaragoza","Otros","34.0"
"Año 2013","Principado de Asturias","Asturias","Usuaria","911.0"
"Año 2013","Principado de Asturias","Asturias","Familiares/Personas allegadas","350.0"
"Año 2013","Principado de Asturias","Asturias","Otros","35.0"
"Año 2013","Islas Baleares","Islas Baleares","Usuaria","860.0"
"Año 2013","Islas Baleares","Islas Baleares","Familiares/Personas allegadas","309.0"
"Año 2013","Islas Baleares","Islas Baleares","Otros","50.0"
"Año 2013","Canarias","Las Palmas","Usuaria","1347.0"
"Año 2013","Canarias","Las Palmas","Familiares/Personas allegadas","496.0"
"Año 2013","Canarias","Las Palmas","Otros","37.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","Usuaria","1202.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","Familiares/Personas allegadas","483.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","Otros","44.0"
"Año 2013","Cantabria","Cantabria","Usuaria","509.0"
"Año 2013","Cantabria","Cantabria","Familiares/Personas allegadas","169.0"
"Año 2013","Cantabria","Cantabria","Otros","20.0"
"Año 2013","Castilla y León","Ávila","Usuaria","219.0"
"Año 2013","Castilla y León","Ávila","Familiares/Personas allegadas","70.0"
"Año 2013","Castilla y León","Ávila","Otros","7.0"
"Año 2013","Castilla y León","Burgos","Usuaria","270.0"
"Año 2013","Castilla y León","Burgos","Familiares/Personas allegadas","101.0"
"Año 2013","Castilla y León","Burgos","Otros","6.0"
"Año 2013","Castilla y León","León","Usuaria","386.0"
"Año 2013","Castilla y León","León","Familiares/Personas allegadas","165.0"
"Año 2013","Castilla y León","León","Otros","11.0"
"Año 2013","Castilla y León","Palencia","Usuaria","111.0"
"Año 2013","Castilla y León","Palencia","Familiares/Personas allegadas","50.0"
"Año 2013","Castilla y León","Palencia","Otros","8.0"
"Año 2013","Castilla y León","Salamanca","Usuaria","255.0"
"Año 2013","Castilla y León","Salamanca","Familiares/Personas allegadas","121.0"
"Año 2013","Castilla y León","Salamanca","Otros","7.0"
"Año 2013","Castilla y León","Segovia","Usuaria","72.0"
"Año 2013","Castilla y León","Segovia","Familiares/Personas allegadas","54.0"
"Año 2013","Castilla y León","Segovia","Otros","4.0"
"Año 2013","Castilla y León","Soria","Usuaria","48.0"
"Año 2013","Castilla y León","Soria","Familiares/Personas allegadas","22.0"
"Año 2013","Castilla y León","Soria","Otros","5.0"
"Año 2013","Castilla y León","Valladolid","Usuaria","569.0"
"Año 2013","Castilla y León","Valladolid","Familiares/Personas allegadas","189.0"
"Año 2013","Castilla y León","Valladolid","Otros","18.0"
"Año 2013","Castilla y León","Zamora","Usuaria","138.0"
"Año 2013","Castilla y León","Zamora","Familiares/Personas allegadas","44.0"
"Año 2013","Castilla y León","Zamora","Otros","1.0"
"Año 2013","Castilla - La Mancha","Albacete","Usuaria","222.0"
"Año 2013","Castilla - La Mancha","Albacete","Familiares/Personas allegadas","101.0"
"Año 2013","Castilla - La Mancha","Albacete","Otros","8.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","Usuaria","340.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","Familiares/Personas allegadas","151.0"
"Año 2013","Castilla - La Mancha","Ciudad Real","Otros","10.0"
"Año 2013","Castilla - La Mancha","Cuenca","Usuaria","112.0"
"Año 2013","Castilla - La Mancha","Cuenca","Familiares/Personas allegadas","55.0"
"Año 2013","Castilla - La Mancha","Cuenca","Otros","8.0"
"Año 2013","Castilla - La Mancha","Guadalajara","Usuaria","206.0"
"Año 2013","Castilla - La Mancha","Guadalajara","Familiares/Personas allegadas","87.0"
"Año 2013","Castilla - La Mancha","Guadalajara","Otros","9.0"
"Año 2013","Castilla - La Mancha","Toledo","Usuaria","548.0"
"Año 2013","Castilla - La Mancha","Toledo","Familiares/Personas allegadas","253.0"
"Año 2013","Castilla - La Mancha","Toledo","Otros","23.0"
"Año 2013","Cataluña","Barcelona","Usuaria","3703.0"
"Año 2013","Cataluña","Barcelona","Familiares/Personas allegadas","1554.0"
"Año 2013","Cataluña","Barcelona","Otros","79.0"
"Año 2013","Cataluña","Girona","Usuaria","350.0"
"Año 2013","Cataluña","Girona","Familiares/Personas allegadas","121.0"
"Año 2013","Cataluña","Girona","Otros","7.0"
"Año 2013","Cataluña","Lleida","Usuaria","155.0"
"Año 2013","Cataluña","Lleida","Familiares/Personas allegadas","62.0"
"Año 2013","Cataluña","Lleida","Otros","2.0"
"Año 2013","Cataluña","Tarragona","Usuaria","527.0"
"Año 2013","Cataluña","Tarragona","Familiares/Personas allegadas","179.0"
"Año 2013","Cataluña","Tarragona","Otros","7.0"
"Año 2013","Comunidad Valenciana","Alicante","Usuaria","1519.0"
"Año 2013","Comunidad Valenciana","Alicante","Familiares/Personas allegadas","619.0"
"Año 2013","Comunidad Valenciana","Alicante","Otros","56.0"
"Año 2013","Comunidad Valenciana","Castellón","Usuaria","447.0"
"Año 2013","Comunidad Valenciana","Castellón","Familiares/Personas allegadas","133.0"
"Año 2013","Comunidad Valenciana","Castellón","Otros","17.0"
"Año 2013","Comunidad Valenciana","Valencia","Usuaria","2358.0"
"Año 2013","Comunidad Valenciana","Valencia","Familiares/Personas allegadas","938.0"
"Año 2013","Comunidad Valenciana","Valencia","Otros","98.0"
"Año 2013","Extremadura","Badajoz","Usuaria","654.0"
"Año 2013","Extremadura","Badajoz","Familiares/Personas allegadas","193.0"
"Año 2013","Extremadura","Badajoz","Otros","20.0"
"Año 2013","Extremadura","Cáceres","Usuaria","405.0"
"Año 2013","Extremadura","Cáceres","Familiares/Personas allegadas","141.0"
"Año 2013","Extremadura","Cáceres","Otros","15.0"
